Alpha,Trial,Steps,Pings
0.6,1,101,1
0.6,2,101,0
0.6,3,88,3
0.6,4,101,3
0.6,5,101,0
0.6,6,101,1
0.6,7,57,2
0.6,8,25,3
0.6,9,10,6
0.6,10,101,0
0.6,11,101,0
0.6,12,81,3
0.6,13,40,2
0.6,14,79,3
0.6,15,101,0
0.6,16,101,1
0.6,17,100,7
0.6,18,101,0
0.6,19,101,0
0.6,20,101,0
0.6,21,101,0
0.6,22,75,0
0.6,23,62,7
0.6,24,101,0
0.6,25,101,0
0.6,26,101,0
0.6,27,101,0
0.6,28,101,3
0.6,29,56,6
0.6,30,78,4
0.6,31,77,1
0.6,32,47,3
0.6,33,101,0
0.6,34,101,0
0.6,35,65,2
0.6,36,101,0
0.6,37,101,0
0.6,38,101,0
0.6,39,93,2
0.6,40,4,1
0.6,41,56,1
0.6,42,101,0
0.6,43,71,4
0.6,44,48,3
0.6,45,22,7
0.6,46,101,0
0.6,47,101,2
0.6,48,101,0
0.6,49,64,2
0.6,50,101,1
0.6,51,101,0
0.6,52,101,0
0.6,53,101,0
0.6,54,101,0
0.6,55,23,1
0.6,56,101,0
0.6,57,101,0
0.6,58,101,0
0.6,59,101,0
0.6,60,101,0
0.6,61,101,0
0.6,62,101,0
0.6,63,101,0
0.6,64,22,4
0.6,65,90,2
0.6,66,10,2
0.6,67,3,1
0.6,68,101,0
0.6,69,82,1
0.6,70,101,0
0.6,71,101,0
0.6,72,101,0
0.6,73,83,2
0.6,74,101,0
0.6,75,101,2
0.6,76,93,2
0.6,77,101,0
0.6,78,101,0
0.6,79,88,2
0.6,80,101,0
0.6,81,101,0
0.6,82,101,0
0.6,83,101,1
0.6,84,101,0
0.6,85,101,0
0.6,86,101,0
0.6,87,101,2
0.6,88,101,0
0.6,89,42,1
0.6,90,101,0
0.6,91,101,0
0.6,92,101,0
0.6,93,101,0
0.6,94,85,4
0.6,95,101,1
0.6,96,19,2
0.6,97,81,2
0.6,98,101,0
0.6,99,10,3
0.6,100,85,4
0.65,1,88,5
0.65,2,12,3
0.65,3,101,0
0.65,4,101,0
0.65,5,101,0
0.65,6,101,0
0.65,7,61,4
0.65,8,101,0
0.65,9,101,0
0.65,10,78,0
0.65,11,101,3
0.65,12,101,1
0.65,13,101,0
0.65,14,79,2
0.65,15,101,0
0.65,16,34,0
0.65,17,101,0
0.65,18,89,2
0.65,19,101,0
0.65,20,12,4
0.65,21,101,0
0.65,22,29,0
0.65,23,101,1
0.65,24,101,0
0.65,25,100,0
0.65,26,77,4
0.65,27,84,0
0.65,28,71,3
0.65,29,13,1
0.65,30,1,0
0.65,31,101,0
0.65,32,75,4
0.65,33,53,3
0.65,34,85,2
0.65,35,87,1
0.65,36,101,0
0.65,37,101,1
0.65,38,101,0
0.65,39,101,0
0.65,40,81,1
0.65,41,101,0
0.65,42,101,0
0.65,43,101,0
0.65,44,15,0
0.65,45,94,4
0.65,46,101,0
0.65,47,93,4
0.65,48,101,0
0.65,49,48,0
0.65,50,101,3
0.65,51,46,3
0.65,52,101,0
0.65,53,101,2
0.65,54,33,2
0.65,55,33,1
0.65,56,101,0
0.65,57,101,0
0.65,58,101,0
0.65,59,101,0
0.65,60,30,0
0.65,61,19,3
0.65,62,96,6
0.65,63,101,0
0.65,64,99,1
0.65,65,101,0
0.65,66,46,3
0.65,67,101,0
0.65,68,101,0
0.65,69,101,0
0.65,70,27,0
0.65,71,79,2
0.65,72,73,5
0.65,73,101,0
0.65,74,101,1
0.65,75,101,0
0.65,76,56,4
0.65,77,101,0
0.65,78,74,3
0.65,79,101,0
0.65,80,13,0
0.65,81,101,0
0.65,82,101,0
0.65,83,101,0
0.65,84,3,1
0.65,85,100,0
0.65,86,66,10
0.65,87,101,0
0.65,88,6,3
0.65,89,87,2
